route,project,number_segments,meanlat,meanlong,silk_area
ADFR,AusCPR,209,-35.334989,128.8140041,3
ANHO,SOCPR,1345,-54.11122862,128.8496317,8
AUHO,AusCPR,49,-39.41946306,160.605168,3
BRER,AusCPR,30,-23.065613,153.4128857,2
BRFI,AusCPR,14,-24.26413071,159.6585386,2
BRGL,AusCPR,33,-24.86205879,153.0676027,2
BRNC,AusCPR,27,-28.91666296,153.3347852,2
BRSY,AusCPR,395,-30.25906848,153.2465545,3
BUNE,AusCPR,57,-40.57537456,160.8385867,3
FRBO,AusCPR,47,-24.03251681,114.6832511,2
FRSY,AusCPR,60,-38.01902533,128.7710845,3
GLTO,AusCPR,46,-21.01135304,149.7388722,2
HOAN,SOCPR,1617,-52.71852993,133.4936858,8
HOFR,AusCPR,165,-37.20130545,130.633377,3
HOSO,AusCPR,85,-45.43712353,144.0229247,8
HOSY,AusCPR,43,-38.51862651,149.7969058,3
MEAD,AusCPR,301,-37.79933827,140.9633704,3
MEFR,AusCPR,30,-38.85994067,138.4371907,3
NCME,AusCPR,29,-36.90891828,149.2122793,3
NEBU,AusCPR,47,-41.02670383,159.6820636,3
SOHO,AusCPR,59,-45.44955881,144.4963505,8
SYBR,AusCPR,30,-30.89036067,153.0760577,3
SYHO,AusCPR,34,-40.26116059,149.0953794,3
SYME,AusCPR,553,-37.26920653,149.3668567,3
TOCA,AusCPR,8,-17.894935,146.3497988,2
